ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;11400;35011400;20208;CARAGUATATUBA;ISMAEL IGLESIAS;CARAGUATATUBA;;3,35;1,99
2021;11423;35011423;20102;SANTOS;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;CUBATAO;;2,7;1,38
2021;11435;35011435;20102;SANTOS;AFONSO SCHIMIDT;CUBATAO;;;1,86
2021;11447;35011447;20102;SANTOS;JACINTO DO AMARAL NARDUCCI PROF;GUARUJA;2,3;2,15;
2021;11460;35011460;20102;SANTOS;JOSE CAVARIANI PROFESSOR;GUARUJA;;2,78;
2021;11484;35011484;20102;SANTOS;WALTER SCHEPIS PROFESSOR;GUARUJA;;3,02;1,54
2021;11496;35011496;20102;SANTOS;NOSSA SENHORA DOS NAVEGANTES;GUARUJA;2,5;1,76;1,27
2021;11502;35011502;20102;SANTOS;THEREZA SILVEIRA DE ALMEIDA PROFESSORA;GUARUJA;;;1,83
2021;11514;35011514;20102;SANTOS;DINIZ MARTINS PROFESSOR;GUARUJA;;3,11;1,25
2021;11526;35011526;20102;SANTOS;EMIDIO JOSE PINHEIRO PROFESSOR;GUARUJA;4,51;;
2021;11538;35011538;20102;SANTOS;PAULO CLEMENTE SANTINI;GUARUJA;2,6;1,76;
2021;11548;35011548;20102;SANTOS;RAQUEL DE CASTRO FERREIRA PROFESSORA;GUARUJA;;;1,92
2021;11551;35011551;20102;SANTOS;PHILOMENA CARDOSO DE OLIVEIRA PROFESSORA;GUARUJA;2,71;;
2021;11563;35011563;20102;SANTOS;GALDINO MOREIRA PROFESSOR;GUARUJA;3,27;;
2021;11575;35011575;20102;SANTOS;MARCILIO DIAS;GUARUJA;;2,73;1,61
2021;11587;35011587;20102;SANTOS;VICENTE DE CARVALHO;GUARUJA;;3,86;2,5
2021;11605;35011605;20102;SANTOS;ARMANDO BELLEGARD PROFESSOR;BERTIOGA;;3,33;2,32
2021;11617;35011617;20102;SANTOS;WILLIAM AURELI;BERTIOGA;;2,64;1,22
2021;11629;35011629;20102;SANTOS;JULIO CONCEICAO;CUBATAO;;4,18;
2021;11630;35011630;20102;SANTOS;LINCOLN FELICIANO;CUBATAO;5;4,68;
2021;11642;35011642;20102;SANTOS;ZENON CLEANTES DE MOURA PROFESSOR;CUBATAO;;2,5;2,04
2021;11666;35011666;20102;SANTOS;EDUARDO GOMES MARECHAL DO AR;GUARUJA;4,31;3,43;2,06
2021;11678;35011678;20102;SANTOS;HUGO SANTOS SILVA DOUTOR;GUARUJA;4,65;3,52;
2021;11685;35011685;20102;SANTOS;JOSE DA COSTA PROFESSOR;CUBATAO;;1,39;2,05
2021;11691;35011691;20102;SANTOS;MARIA HELENA DUARTE CAETANO PROFESSORA;CUBATAO;4,02;2,07;0,24
2021;11708;35011708;20102;SANTOS;AZEVEDO JUNIOR;SANTOS;;3,37;
2021;11721;35011721;20102;SANTOS;SAO LEOPOLDO VISCONDE DE;SANTOS;;2,47;
2021;11757;35011757;20102;SANTOS;LUIZA MACUCO DONA;SANTOS;;3,74;3,5
2021;11770;35011770;20102;SANTOS;BENEVENUTO MADUREIRA PROFESSOR;SANTOS;;2,52;1,82
